player,birth_state
Brent Barry,New York
Brent Price,Oklahoma
Brent Scott,Michigan
Brett Szabo,Iowa
Brett Vroman,California
Brevin Knight,New Jersey
Brian Cardinal,Illinois
Brian Cook,Illinois
Brian Davis,Pennsylvania
Brian Evans,Illinois
Brian Grant,Ohio
Brian Howard,North Carolina
Brian Martin,Arkansas
Brian Oliver,Illinois
Brian Quinnett,Washington
Brian Roberts,Ohio
Brian Rowsom,New Jersey
Brian Scalabrine,California
Brian Shaw,California
Brian Skinner,Texas
Brian Taylor,New Jersey
Brian Winters,New York
Briante Weber,Virginia
Brice Johnson,Utah
Britton Johnsen,Utah
Brook Lopez,California
Brook Steppe,North Carolina
Brooks Thompson,Texas
Bruce Bowen,California
Bruce Douglas,Illinois
Bruce Flowers,New York
Bruce Hale,Oregon
Bruce Kuczenski,Connecticut
Bruce Seals,Louisiana
Bruno Caboclo,Brazil
Bruno Sundov,Croatia
Bryan Warrick,Washington
Bryant Reeves,Arkansas
Bryant Stith,Virginia
Bryce Cotton,Arizona
Bryce Dejean-Jones,California
Bryce Drew,Louisiana
Bryn Forbes,Michigan
Bryon Russell,California
Bubba Wells,Kentucky
Bubba Wilson,North Carolina
Buck Johnson,Alabama
Buck Williams,North Carolina
Bucky Bockhorn,Illinois
Bud Grant,Wisconsin
Bud Koper,Oklahoma
Bud Ogden,California
Bud Stallworth,Alabama
Buddy Hield,Bahamas
Buddy Jeannette*,Pennsylvania
Butch Beard,Kentucky
Butch Carter,Ohio
Butch Feher,Michigan
Butch Graves,New York
Butch Lee,Puerto Rico
Byron Beck,Washington
Byron Dinkins,North Carolina
Byron Houston,Kansas
Byron Irvin,Illinois
Byron Mullens,Ohio
Byron Scott,Utah
Cal Bowdler,Virginia
Cal Ramsey,Alabama
Calbert Cheaney,Indiana
Caldwell Jones,Arkansas
Calvin Booth,Ohio
Calvin Garrett,Tennessee
Calvin Murphy*,Connecticut
Calvin Natt,Louisiana
Cameron Bairstow,Australia
Cameron Payne,Tennessee
Campy Russell,Illinois
Carey Scurry,New York
Caris LeVert,Ohio
Carl Bailey,Alabama
Carl Braun,New York
Carl Henry,Oklahoma
Carl Herrera,Trinidad and Tobago
Carl Kilpatrick,Louisiana
Carl Landry,Wisconsin
Carl Nicks,Illinois
Carl Shaeffer,Indiana
Carl Thomas,Ohio
Carldell Johnson,Louisiana
Carlos Arroyo,Puerto Rico
Carlos Boozer,Germany
Carlos Clark,Tennessee
Carlos Delfino,Argentina
Carlos Rogers,Michigan
Carlos Terry,North Carolina
Carlton McKinney,California
Carmelo Anthony,New York
