Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
83,Alex English*,SF,29,DEN,82,2988,24.1,0.561,0.006,0.264,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,,8.7,1.6,10.3,0.166,,5.4,-0.8,4.6,5
84,Julius Erving*,SF,32,PHI,72,2421,23.1,0.566,0.006,0.372,7.9,13.3,10.7,16.5,2.2,3,12.6,25.5,,6.8,4.1,10.9,0.217,,4.6,1.9,6.5,5.2
85,Mike Evans,SG,27,DEN,42,695,8.9,0.504,0.037,0.169,0.6,7.9,4.2,19.5,1.4,0.2,21.4,17.6,,-0.3,0.1,-0.2,-0.01,,-3.6,-1.8,-5.3,-0.6
86,Bruce Flowers,PF,25,CLE,53,699,15.2,0.569,0.01,0.257,11.3,18.2,14.7,10.1,1.3,1,15.8,16.4,,1.1,0.6,1.7,0.119,,0,0.2,0.2,0.4
87,Sleepy Floyd,PG,22,TOT,76,1248,13.8,0.505,0.047,0.342,4.8,7.3,6,15.3,2.1,0.8,14.9,22.4,,1,1.1,2.2,0.083,,-0.6,-0.3,-0.9,0.3
87,Sleepy Floyd,PG,22,NJN,43,494,12.1,0.479,0.065,0.208,3.7,5.9,4.8,19.3,1.8,1.1,14.5,21.9,,0.2,0.7,0.9,0.089,,-1.4,0.2,-1.2,0.1
87,Sleepy Floyd,PG,22,GSW,33,754,15,0.521,0.035,0.434,5.6,8.2,6.8,12.7,2.4,0.6,15.1,22.7,,0.8,0.4,1.3,0.08,,-0.1,-0.6,-0.8,0.2
88,Phil Ford,PG,26,TOT,77,1610,10.4,0.525,0.02,0.276,1.3,5.6,3.5,24.1,1.5,0.1,21.2,16.2,,0.7,1.6,2.4,0.07,,-2.2,-0.4,-2.6,-0.3
88,Phil Ford,PG,26,NJN,7,163,9.1,0.596,0.029,0.286,0,4.8,2.4,30.4,1.7,0,34.8,14.6,,0,0.2,0.2,0.057,,-2.7,-0.3,-2.9,-0.1
88,Phil Ford,PG,26,MIL,70,1447,10.6,0.519,0.02,0.276,1.4,5.7,3.6,23.4,1.5,0.1,19.7,16.4,,0.7,1.4,2.2,0.072,,-2.2,-0.4,-2.6,-0.2
89,World B. Free,SG,29,TOT,73,2638,18.4,0.519,0.032,0.41,3.8,4.8,4.3,18.2,1.8,0.3,11.1,29.6,,4.5,1.2,5.7,0.104,,2.2,-1.2,1.1,2
89,World B. Free,SG,29,GSW,19,700,15.9,0.505,0.008,0.409,3.3,3.5,3.4,18.6,1,0.2,10.4,26.9,,1.1,0,1.1,0.077,,0.8,-2.7,-1.8,0
89,World B. Free,SG,29,CLE,54,1938,19.3,0.524,0.04,0.41,4,5.2,4.6,18.1,2.1,0.4,11.3,30.5,,3.4,1.1,4.6,0.113,,2.7,-0.6,2.1,2
90,Bill Garnett,C,22,DAL,75,1411,15,0.593,0.009,0.545,10.6,20.6,15.5,9,1.6,2.7,17,13.4,,2.6,1.3,3.9,0.133,,-0.2,0.9,0.7,1
91,Calvin Garrett,SF,26,HOU,4,34,6.4,0.421,0.091,0.182,8.9,13.4,11,12.1,0,0,20.2,17.5,,0,0,0,-0.051,,-4.1,-0.6,-4.6,0
92,George Gervin*,SG,30,SAS,78,2830,20.5,0.561,0.021,0.39,4.4,9.1,6.9,14,1.4,1.3,12,29.1,,7.6,1.8,9.4,0.159,,2.9,-1.1,1.8,2.7
93,Artis Gilmore*,C,33,SAS,82,2797,21.2,0.668,0.007,0.559,12.1,25.8,19.2,6.1,0.7,3.7,18.7,19.4,,7.5,3.5,11,0.189,,2.7,0.2,2.8,3.4
94,Mike Glenn,SG,27,ATL,73,1124,15.1,0.553,0.002,0.2,1.5,7,4.3,17.3,1.3,0.5,9.7,19.8,,2,0.9,2.9,0.126,,-0.2,0.2,0,0.6
95,Mike Gminski,C,23,NJN,80,1255,18.4,0.572,0.002,0.528,14,20.3,17.2,6.7,1.3,5.4,19.4,20.4,,1.7,2.6,4.3,0.166,,0.5,1.5,2.1,1.3
96,Glen Gondrezick,PF,27,DEN,76,1130,13.5,0.508,0.01,0.388,9.6,17.3,13.5,10,3,0.4,12.5,12.9,,1.5,1.1,2.5,0.108,,-0.4,0.8,0.4,0.7
97,Rickey Green,PG,28,UTA,78,2783,17.2,0.534,0.014,0.246,2.3,5.7,4.1,34.5,3.5,0.1,17.5,17.8,,3.8,2.8,6.6,0.114,,1.3,0.7,2,2.8
98,Dave Greenwood,PF,25,CHI,79,2355,13,0.5,0.006,0.34,9.9,24.9,17.4,8.5,1,2,16.3,15.5,,1.3,2.3,3.6,0.073,,-1,-0.1,-1.1,0.5
99,John Greig,SF,21,SEA,9,26,19.9,0.607,0,0.462,8.6,15.7,12.3,0,0,2,11.3,27.2,,0.1,0,0.1,0.182,,-3.6,-0.2,-3.8,0
100,Kevin Grevey,SF,29,WSB,41,756,9.5,0.458,0.129,0.235,2.6,4.6,3.6,9.5,1.1,0.5,7.7,19.3,,0.2,0.8,1,0.064,,-2.4,0,-2.4,-0.1
101,Paul Griffin,PF,29,SAS,53,956,8.9,0.579,0,0.655,9.1,15.3,12.3,10.3,1.6,1.4,31.3,9.1,,0.5,0.9,1.4,0.068,,-1.8,1.2,-0.6,0.3
102,Darrell Griffith,SG,24,UTA,77,2787,15.8,0.514,0.085,0.158,3.8,7.3,5.6,15.6,2.2,0.6,13.2,26.9,,0.6,2.2,2.8,0.048,,0.2,-1.1,-0.9,0.8
103,Bob Gross,SF,29,SDC,27,373,8.7,0.459,0.037,0.232,9.1,11.3,10.1,11.1,2.7,1.1,21,11.9,,0,0.2,0.2,0.032,,-2.8,0.6,-2.2,0
104,Ernie Grunfeld,SF,27,NYK,77,1422,8.9,0.494,0.011,0.26,3.4,10.1,6.7,13.5,1.4,0.4,16.7,15.1,,0.2,1.9,2.2,0.073,,-2.8,1,-1.8,0.1
105,Bill Hanzlik,SF,25,DEN,82,1547,10.6,0.493,0.016,0.366,5.2,10.2,7.7,19.7,2.1,0.5,22.1,15.6,,0.3,0.7,1,0.03,,-2,-0.4,-2.5,-0.2
106,Joe Hassett,SG,27,GSW,6,139,7.5,0.443,0.205,0,2.3,6.4,4.3,19.4,0.7,0,17,15,,0,0,0,-0.008,,-2.7,-1.2,-3.8,-0.1
107,Scott Hastings,C-PF,22,TOT,31,140,6.4,0.395,0.079,0.526,12.1,21.6,16.8,2.9,2.1,0.4,16.1,16.8,,-0.2,0.3,0.1,0.031,,-5.3,0,-5.3,-0.2
