Player,Salary in $,height,birth_state
Chandler Parsons,23112004,208.0,Florida
Channing Frye,8175476,211.0,New York
Charles Jenkins,762195,190.0,New York
Charles Jones,875000,206.0,Arkansas
Charles Oakley,6545000,203.0,Ohio
Charles Shackleford,1720000,208.0,North Carolina
Charles Smith,3957143,208.0,Connecticut
Charlie Bell,4447792,190.0,Michigan
Charlie Villanueva,8580000,211.0,New York
Charlie Ward,6030000,188.0,Georgia
Chase Budinger,5000000,201.0,California
Chasson Randle,1312611,188.0,Illinois
Chauncey Billups,13150000,190.0,Colorado
Cheick Diallo,1312611,206.0,Mali
Chinanu Onuaku,1312611,208.0,Maryland
Chris Andersen,5375000,208.0,California
Chris Anstey,985200,213.0,Australia
Chris Babb,48028,196.0,Texas
Chris Bosh,25289390,211.0,Texas
Chris Carr,1200000,196.0,Missouri
Chris Childs,5200000,190.0,California
Chris Copeland,3135000,206.0,New Jersey
Chris Corchiani,300000,183.0,Florida
Chris Crawford,3250000,206.0,Michigan
Chris Douglas-Roberts,915243,201.0,Michigan
Chris Dudley,6200000,188.0,Pennsylvania
Chris Duhon,6031800,185.0,Louisiana
Chris Garner,242000,178.0,Tennessee
Chris Gatling,5550000,208.0,New Jersey
Chris Herren,316969,188.0,Massachusetts
Chris Hunter,632455,211.0,Indiana
Chris Jefferies,840360,203.0,California
Chris Jent,250000,201.0,California
Chris Johnson,981348,183.0,Texas
Chris Kaman,14030000,213.0,Michigan
Chris King,225000,203.0,North Carolina
Chris McCray,161061,196.0,Maryland
Chris McCullough,1471382,211.0,New York
Chris Mihm,4214241,213.0,Wisconsin
Chris Mills,6600000,198.0,California
Chris Morris,3000000,203.0,Georgia
Chris Owens,349458,201.0,Ohio
Chris Paul,24599495,183.0,North Carolina
Chris Porter,465850,201.0,Alabama
Chris Quinn,1055000,188.0,Louisiana
Chris Richard,427163,206.0,Florida
Chris Robinson,375000,196.0,Georgia
Chris Singleton,1618680,203.0,Georgia
Chris Smith,270000,208.0,Connecticut
Chris Taft,664209,208.0,New York
Chris Webber,19125000,206.0,Michigan
Chris Whitney,3000000,183.0,Kentucky
Chris Wilcox,6750000,208.0,North Carolina
Chris Wright,473604,203.0,Ohio
Christian Eyenga,1174080,196.0,Democratic Republic of the Congo
Christian Laettner,6625000,211.0,New York
Christian Wood,874636,211.0,California
Chuck Hayes,5958750,198.0,California
Chuck Nevitt,118000,226.0,Colorado
Chuck Person,2860000,203.0,Alabama
Chucky Atkins,4500000,180.0,Florida
Chucky Brown,850000,201.0,New York
Clarence Weatherspoon,6353200,198.0,Mississippi
Cleanthony Early,845059,203.0,New York
Cliff Alexander,525093,203.0,Illinois
Cliff Levingston,1350000,203.0,California
Cliff Robinson,140000,206.0,California
Clifford Robinson,8421875,206.0,California
Clifford Rozier,1040000,211.0,Florida
Clint McDaniel,200000,193.0,Oklahoma
Coby Karl,427163,196.0,Montana
Cody Zeller,12584270,213.0,Indiana
Cole Aldrich,7643979,211.0,Minnesota
Corey Beck,425000,185.0,Tennessee
Corey Benjamin,749160,198.0,California
Corey Brewer,8200000,206.0,Tennessee
Corey Crowder,250000,196.0,Georgia
Corey Gaines,13000,190.0,California
Corey Maggette,9600000,198.0,Illinois
Corey Williams,200000,188.0,Georgia
Corie Blount,1680000,206.0,California
Corliss Williamson,6500000,188.0,Georgia
Corsley Edwards,319498,206.0,Maryland
Cory Alexander,2302778,185.0,Virginia
Cory Carr,287500,190.0,Arkansas
Cory Jefferson,507336,206.0,Washington
Cory Joseph,7630000,190.0,Canada
Coty Clarke,61776,201.0,Tennessee
Courtney Alexander,2168193,185.0,Virginia
Courtney Fortson,42009,180.0,Texas
Courtney Lee,11747890,196.0,Indiana
Courtney Sims,184648,208.0,Massachusetts
Craig Brackins,1404960,208.0,California
Craig Ehlo,2650000,198.0,Texas
Craig Hodges,700000,188.0,Illinois
Craig Smith,2500000,201.0,California
