Player,MP,WS,WS/48,BPM
Stojko Vrankovi?,166,-0.1,-0.026000000000000002,-7.6
Stuart Gray,37,0.0,-0.013000000000000001,-9.8
T.R. Dunn,217,0.3,0.066,-2.8
Tate George,594,0.4,0.032,-3.6
Terry Catledge,1459,1.6,0.051,-2.4
Terry Cummings,2195,5.6,0.122,0.2
Terry Davis,996,2.0,0.095,-2.1
Terry Porter,2665,13.0,0.235,7.4
Terry Teagle,1498,2.1,0.066,-3.9
Thurl Bailey,2486,3.7,0.07200000000000001,-1.4
Tim Hardaway,3215,9.9,0.14800000000000002,4.4
Tim Legler,148,-0.1,-0.046,-8.5
Tim McCormick,689,1.1,0.075,-3.2
Tim Perry,587,1.4,0.11599999999999999,0.7
Tod Murphy,1063,1.4,0.062,-2.7
Todd Lichti,860,1.0,0.055,-2.2
Tom Chambers,2475,5.4,0.105,-0.9
Tom Garrick,949,1.8,0.08900000000000001,0.0
Tom Hammonds,1023,0.8,0.038,-4.7
Tom Tolbert,1371,1.3,0.045,-3.6
Tony Campbell,2893,3.7,0.062,-0.2
Tony Dawson,17,0.0,0.06,1.7
Tony Harris,41,-0.2,-0.248,-16.4
Tony Massenburg,161,0.4,0.129,-3.4
Tony Smith,695,0.5,0.037000000000000005,-2.2
Travis Mays,2145,2.1,0.047,-1.9
Tree Rollins,202,0.1,0.022000000000000002,-4.0
Trent Tucker,1194,1.9,0.078,-0.5
Trevor Wilson,162,-0.5,-0.14400000000000002,-9.3
Tyrone Corbin,3196,5.4,0.081,0.9
Tyrone Hill,1192,2.1,0.084,-4.7
Vern Fleming,1929,4.4,0.109,1.6
Vernon Maxwell,2870,5.9,0.099,0.6
Vincent Askew,85,0.2,0.09300000000000001,-4.1
Vinnie Johnson,2390,3.8,0.077,-0.2
Vlade Divac*,2310,8.3,0.17300000000000001,2.3
Walter Palmer,85,-0.1,-0.040999999999999995,-7.8
Wayman Tisdale,1116,1.8,0.078,0.0
Wayne Cooper,746,1.4,0.092,-2.6
Will Perdue,972,2.3,0.115,-2.2
William Bedford,562,1.3,0.113,-0.7
Willie Anderson,2592,4.8,0.08900000000000001,0.1
Willie Burton,1928,2.1,0.052000000000000005,-3.4
Winston Bennett,334,0.2,0.026000000000000002,-5.5
Winston Garland,1702,2.4,0.069,-0.9
Šar?nas Mar?iulionis*,987,2.5,0.121,0.1
